Table,PrimaryKey,ForeignKey,Name,Description,Type (value set),Availability,Completeness
Account,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
Account,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
Account,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
Account,0,,ServiceStartDateTime,The date and time that the earliest service or encounter associated with this account started.,DateTime,TDM,n/a
Account,0,,ServiceEndDateTime,The date and time that the last service or encounter associated with this account ended.,DateTime,TDM,n/a
Account,0,,StatusConceptId,"Truveta concept identifier for the status of the account indicating whether the account is currently used/useable, such as active, inactive, on hold, or entered in error.",integer (Account Status),TDM,n/a
Account,0,,BillingStatusConceptId,"Truveta concept identifier for the status of the account within the lifecycle of the billing process, such as open, billing, and closed and completed.",integer (Billing Status),TDM,n/a
Account,0,,BillingTypeConceptId,"Truveta concept identifier for the category of billing applicable to charges linked to the account, such as professional or institutional billing.",integer (Billing Type),TDM,n/a
Account,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,TDM,n/a
AccountCoverage,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Account,AccountId,The id of the Account associated with this event.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,Coverage,CoverageId,The id of the Coverage applied to the Account.,UniqueIdentifier,TDM,n/a
AccountCoverage,0,,CoveragePriorityConceptId,"Truveta concept identifier for the priority order of the Coverage applied to the Account, such as primary or secondary.",integer (Coverage Priority),TDM,n/a
AccountEncounter,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Account,AccountId,The id of the Account used to bill the Encounter.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Encounter,PrimaryEncounterId,The id of the primary Encounter of which the Encounter is a part.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,TDM,n/a
AccountEncounter,0,,PrimaryEncounterFlagConceptId,Truveta concept identifier for whether the Encounter is a primary Encounter.,integer (Yes No Indicator),TDM,n/a
AccountEncounter,0,,EncounterSequence,"The sequence number for this encounter, which is used to determine the order of encounters within an account.",integer,TDM,n/a
AccountPaymentClassification,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
AccountPaymentClassification,0,Person,PersonId,Foreign key reference linking the Account Payment Classification to Person.,UniqueIdentifier,TDM,n/a
AccountPaymentClassification,0,Account,AccountId,The id of the Account used to bill the Encounter.,UniqueIdentifier,TDM,n/a
AccountPaymentClassification,0,,PaymentClassificationConceptId,"Truveta concept Id representing the classification system and specific code used to determine reimbursement rates for services and items associated with this account, such as DRG or APC.",integer,TDM,n/a
BodySiteMap,1,,Id,"Truveta generated Id for bodysite concept map, primary key to join with BodySiteConceptMapId",long,TDM,n/a
BodySiteMap,0,,BodySite,Normalized BodySite,BodySite,TDM,n/a
BodySiteMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
BodySiteMapHistory,1,,Id,"Truveta generated Id for bodysite concept map, primary key to join with BodySiteConceptMapId",long,TDM,n/a
BodySiteMapHistory,0,,BodySite,Normalized BodySite,BodySite,TDM,n/a
BodySiteMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
BodySiteMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
BodySiteMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
CareSite,1,,Id,The unique identifier generated by Truveta for this Care Site.,UniqueIdentifier,TDM,n/a
CareSite,0,Location,LocationId,The id of the Location where the encounter event took place.,UniqueIdentifier,TDM,n/a
CareSite,0,CareSite,ParentCareSiteId,The id of the parent Care Site.,UniqueIdentifier,TDM,n/a
CareSite,0,,FormConceptId,"Truveta concept identifier for the physical form of the CareSIte, such as a building, unit, room, bed, or vehicle.",integer (Care Site Form),TDM,n/a
CareSite,0,,TypeConceptId,"Truveta concept identifier for the role of a place that further classifies the setting in which services are delivered, such as a cardiac cath lab or rehabilitation hospital.",integer (Care Site Type),TDM,n/a
CareSite,0,,SpecialtyConceptId,Truveta concept identifier for the medical specialty practiced in this Care Site.,integer (Specialty),TDM,n/a
Claim,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
Claim,0,Person,PersonId,System generated identifier of person.,UniqueIdentifier,TDM,n/a
Claim,0,,ServiceBeginDate,DOS_BEGIN The first date a service on this claim was provided.,DateTime,TDM,n/a
Claim,0,,ServiceEndDate,DOS_END The last date a service on this claim was provided.,DateTime,TDM,n/a
Claim,0,,TypeConceptId,"Truveta concept identifier for the type of claim filed, Professional or Institutional.",integer (Claim Type),TDM,n/a
Claim,0,,PayerTypeConceptId,Truveta concept identifier for the category for organizing payers by their type.,integer (Payer Type),TDM,n/a
Claim,0,,AdjudicatedConceptId,Truveta concept identifier for indicates if the claim is adjudicated or not. Refer to the 'Adjudication Runout' consideration for more information on how to interpret this field.,integer (Yes No Indicator),TDM,n/a
Claim,0,,ChargeAmount,"The total aggregate charged amount, for all lines associated with the claim filed to the primary payer, in USD.",decimal,TDM,n/a
Claim,0,,PaidAmount,"The total aggregate amount paid, for all lines associated with the claim filed to the primary payer, in USD.",decimal,TDM,n/a
Claim,0,,AllowedAmount,"The total aggregate amount of payment allowed, for all lines associated with the claim filed to the primary payer, in USD.",decimal,TDM,n/a
Claim,0,,PatientResponsibilityAmount,"The total aggregate amount the patient is responsible to pay,  for all lines associated with the claim filed to the primary payer, in USD.",decimal,TDM,n/a
Claim,0,,DRGCodeConceptId,"Truveta concept identifier for the encoded diagnosis related group, or DRG.",integer,TDM,n/a
Claim,0,,PrimaryDiagnosisCodeConceptId,Concept Id of the Primary Diagnosis Code.,integer,TDM,n/a
ClaimLine,1,,Id,System generated key for Claim Line.,UniqueIdentifier,TDM,n/a
ClaimLine,0,Person,PersonId,Foreign key reference to the person the claim line is associated.,UniqueIdentifier,TDM,n/a
ClaimLine,0,Claim,ClaimId,Foreign Key reference for Claim.,UniqueIdentifier,TDM,n/a
ClaimLine,0,,LineNumber,The Claim Line Number which uniquely identifies a claim line when looking at a single Claim Number.  This in combination with Claim Number creates a unique Transaction ID in most cases.,integer,TDM,n/a
ClaimLine,0,,UnitsOfService,Number of units for this service,decimal,TDM,n/a
ClaimLine,0,,SettingOfCareConceptId,Truveta concept identifier for care setting,integer (Setting Of Care),TDM,n/a
ClaimLineCodes,0,Person,PersonId,Foreign key reference to the person the claim line is associated.,UniqueIdentifier,TDM,n/a
ClaimLineCodes,0,ClaimLine,ClaimLineId,Foreign Key reference for Claim Line.,UniqueIdentifier,TDM,n/a
ClaimLineCodes,0,,CodeConceptId,Concept Id  associated with the Clinical Code,integer,TDM,n/a
ClaimLineCodes,0,,CategoryConceptId,Truveta concept id to identify event type category,integer (Event Type),TDM,n/a
Concept,1,,ConceptId,Truveta managed identifier for concepts from various coding systems/ontologies,integer,TDM,n/a
Concept,0,,ConceptName,Concept name,string,TDM,n/a
Concept,0,,ConceptDefinition,Concept description,string,TDM,n/a
Concept,0,,CodeSystem,"Vocabulary/ontology name where the concept is derived (e.g SNOMED CT, ICD10CM, RxNorm, LOINC)",string,TDM,n/a
Concept,0,,ConceptCode,Concept code from the coding system,string,TDM,n/a
Concept,0,,Domain,"Concept domain like Condition, Medication, Observation, Procedure, Categories etc. Derived from SNOMED root for SNOMED codes or OMOP for concepts",string,TDM,n/a
Concept,0,,ConceptClass,"Captures the categorical value grouping for the concept, if the concept falls within such a grouping",string,TDM,n/a
ConceptLink,0,Concept,ConceptId1,Concept Id1 - typically ancestor,integer,TDM,n/a
ConceptLink,0,Concept,ConceptId2,Concept Id2 - typically descendant,integer,TDM,n/a
Condition,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
Condition,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
Condition,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
Condition,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,96%
Condition,0,,CategoryConceptId,"Truveta concept identifier for the category that describes the source of the condition, such as admission diagnosis or medical history.",integer (Condition Category),Prose+TDM,100%
Condition,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,98%
Condition,0,,OnsetDateTime,The date and time that the condition began.,DateTime,Prose+TDM,17%
Condition,0,,AbatementDateTime,The date and time that the condition resolved.,DateTime,Prose+TDM,9%
Condition,0,,ClinicalStatusConceptId,"Truveta concept identifier for the state of the condition from a clinical perspective, such as 'active', 'relapsed', 'resolved'.",integer (Condition Clinical Status),Prose+TDM,3%
Condition,0,,SeverityConceptId,Truveta concept identifier for the severity of the condition.,integer (Condition Severity),Prose+TDM,2%
Condition,0,,SequenceNumber,An ordered string for grouping Conditions within an event.,short,Prose+TDM,73%
Condition,0,,PrimaryDiagnosisConceptId,Truveta concept identifier for whether the condition is a primary diagnosis.,integer (Yes No Indicator),Prose+TDM,49%
Condition,0,,VerificationStatusConceptId,"Truveta concept identifier for the state of verification of the Condition, such as 'confirmed', 'provisional', or 'refuted'.",integer (Condition Verification Status),Prose+TDM,<1%
Condition,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
Condition,0,ConditionCodeConceptMap,CodeConceptMapId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
Condition,0,,CodeConceptId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
Condition,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,4%
Condition,0,BodySiteMap,BodySiteMapId,"Normalization Id for the location of the condition, such as 'left arm', etc.",long,TDM,n/a
ConditionCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with Condition",long,TDM,n/a
ConditionCodeConceptMap,0,,CodeConceptId,Truveta code for the Condition concept,integer,TDM,n/a
ConditionCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
ConditionCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with Condition",long,TDM,n/a
ConditionCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the Condition concept,integer,TDM,n/a
ConditionCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
ConditionCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
ConditionCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
Coverage,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
Coverage,0,,FinancialClassConceptId,"Truveta concept identifier for the payment source category, such as Commercial, Medicare, or self pay.",integer (Financial Class),TDM,n/a
Coverage,0,,InsurancePlanTypeConceptId,"Truveta concept identifier for the type of health insurance product, such as HMO, PPO, or fee for service.",integer (Insurance Plan Type),TDM,n/a
DeviceUse,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
DeviceUse,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
DeviceUse,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
DeviceUse,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,83%
DeviceUse,0,,ActionDateTime,Date and time of the action taken with the device.,DateTime,Prose+TDM,96%
DeviceUse,0,,ActionConceptId,"Truveta concept identifier for the action taken with the device, for instance, 'implanted', 'explanted', 'revised', etc.",integer (Device Action),Prose+TDM,100%
DeviceUse,0,,BodySiteConceptId,Truveta concept identifier for the body site where the device was used.,integer (Body Site),Prose+TDM,25%
DeviceUse,0,,ManufacturerConceptId,Truveta concept identifier for the manufacturer of the device.,integer (Manufacturer),Prose+TDM,2%
DeviceUse,0,Procedure,ProcedureId,The id of the Procedure associated with this event.,UniqueIdentifier,Prose+TDM,<1%
DeviceUse,0,,ExpirationDate,Date of expiry of the device.,DateTime,Prose+TDM,23%
DeviceUse,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,7%
DeviceUse,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
DeviceUse,0,DeviceUseCodeConceptMap,CodeConceptMapId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
DeviceUse,0,,CodeConceptId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,99%
DeviceUse,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,<1%
DeviceUse,0,BodySiteMap,BodySiteMapId,Normalization Id for the body site where the device was used.,long,TDM,n/a
DeviceUseCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with DeviceUse",long,TDM,n/a
DeviceUseCodeConceptMap,0,,CodeConceptId,Truveta code for the DeviceUse concept,integer,TDM,n/a
DeviceUseCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
DeviceUseCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with DeviceUse",long,TDM,n/a
DeviceUseCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the DeviceUse concept,integer,TDM,n/a
DeviceUseCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
DeviceUseCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
DeviceUseCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
Encounter,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
Encounter,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
Encounter,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables,UniqueIdentifier,TDM,n/a
Encounter,0,,TypeConceptId,"Truveta concept identifier for the type of encounter, such as e-mail consultation, surgical day-care, skilled nursing, rehabilitation, etc.",integer (Encounter Type),Prose+TDM,86%
Encounter,0,,ClassConceptId,"Truveta concept identifier for a classification of patient encounter such as ambulatory, inpatient, emergency, home health or others due to local variations.",integer (Encounter Class),Prose+TDM,66%
Encounter,0,,StartDateTime,The date and time that the encounter began.,DateTime,Prose+TDM,100%
Encounter,0,,EndDateTime,The date and time that the encounter ended.,DateTime,Prose+TDM,27%
Encounter,0,,DischargeDispositionConceptId,Truveta concept identifier for the location that the patient was discharged at the end of this encounter.,integer (Encounter Discharge Disposition),Prose+TDM,9%
Encounter,0,,PriorityConceptId,Truveta concept identifier for a category describing the urgency of the encounter.,integer (Encounter Priority),Prose+TDM,1%
Encounter,0,,StatusConceptId,"Truveta concept identifier for the state of the encounter in the health system workflow, such as planned, in-progress, on-leave, finished, or cancelled.",integer (Encounter Status),Prose+TDM,40%
Encounter,0,,CheckInDateTime,The date and time the patient was checked in for the encounter.,DateTime,Prose+TDM,12%
Encounter,0,,CheckOutDateTime,The date and time the patient was checked out from the encounter.,DateTime,Prose+TDM,5%
Encounter,0,,ModeOfArrivalConceptId,Truveta concept identifier for the mode of transportation by which the patient was brought to the healthcare facility.,integer (Mode Of Arrival),Prose+TDM,1%
Encounter,0,,AdmitSourceConceptId,"Truveta concept identifier for the place from where the patient was admitted, such as the emergency department, an outpatient clinic, or a transfer from a different hospital.",integer (Admit Source),Prose+TDM,5%
Encounter,0,Location,FacilityLocationId,The id of the facility location where the encounter took place.,UniqueIdentifier,TDM,n/a
Encounter,0,CareSite,CareSiteId,The id of the care site in which this event occurred.,UniqueIdentifier,TDM,n/a
EncounterHistory,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
EncounterHistory,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
EncounterHistory,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
EncounterHistory,0,,StartDateTime,The date and time that the encounter event began.,DateTime,TDM,n/a
EncounterHistory,0,,EndDateTime,The date and time that the encounter event ended.,DateTime,TDM,n/a
EncounterHistory,0,,RecordedDateTime,The date and time that the encounter event was recorded by the source healthcare system.,DateTime,TDM,n/a
EncounterHistory,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,TDM,n/a
EncounterHistory,0,CareSite,CareSiteId,The id of the care site in which this event occurred.,UniqueIdentifier,TDM,n/a
EncounterHistory,0,,EncounterClassConceptId,"Truveta concept identifier for a classification of a patient encounter such as ambulatory, inpatient, emergency, home health or others due to local variations.",integer (Encounter Class),TDM,n/a
EncounterHistory,0,,EventTypeConceptId,"Truveta concept identifier for the type of event record (i.e. Admission, Discharge, Transfer In, Transfer Out).",integer (Encounter Event Type),TDM,n/a
EncounterHistory,0,,ServiceTypeConceptId,"Truveta concept identifier for broad categorization of the service that is to be provided, such as Emergency Medicine, Pediatrics, or Critical Care.",integer (Service Type),TDM,n/a
EncounterHistory,0,,LevelOfCareConceptId,"Truveta concept identifier for the intensity and type of medical or supportive services provided to a patient, such as Intermediate Care, Acute Care-Med Surg, or NICU Critical Care.",integer (Level Of Care),TDM,n/a
EncounterHistory,0,,EventSequence,The sequence number for this event within a patient encounter. This number is used to determine the order of events for a particular encounter. Only non-canceled events are included within this sequence.,integer,TDM,n/a
EncounterHistory,0,,RoomId,The id of the room in which this event occurred.,string,TDM,n/a
EncounterHistory,0,,BedId,The id of the bed in which this event occurred.,string,TDM,n/a
EncounterHistory,0,,StatusConceptId,Truveta concept identifier for the status of the encounter history,integer (Encounter History Status),TDM,n/a
EncounterParticipant,1,,Id,System generated key for EncounterParticipant.,UniqueIdentifier,TDM,n/a
EncounterParticipant,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
EncounterParticipant,0,Encounter,EncounterId,Foreign Key reference to Encounter used to join across tables.,UniqueIdentifier,TDM,n/a
EncounterParticipant,0,,StartDateTime,The date and time that the participant began participating.,DateTime,TDM,n/a
EncounterParticipant,0,Practitioner,PractitionerId,The id of the Practitioner who served as the participant.,UniqueIdentifier,TDM,n/a
EncounterParticipant,0,,ParticipantTypeConceptId,Truveta concept identifier for the function provided by the participant.,integer (Participant Type),TDM,n/a
EncounterParticipant,0,,EndDateTime,The date and time that the participant stopped participating.,DateTime,TDM,n/a
EventReference,1,,Id,Primary key for reference table,UniqueIdentifier,TDM,n/a
EventReference,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
EventReference,0,,SourceId,"The id of the Person, Practitioner, or event that initiates or causes an influence or effect on the target.",UniqueIdentifier,TDM,n/a
EventReference,0,,TargetId,"The Person, Practitioner, or event that is influenced or affected by the source.",UniqueIdentifier,TDM,n/a
EventReference,0,,TypeConceptId,The influence that the source has on the target.,integer (Reference Type),TDM,n/a
EventReference,0,,SourceEventTypeConceptId,The type of event that initiates or causes an influence or effect on the target.,integer (Event Type),TDM,n/a
EventReference,0,,TargetEventTypeConceptId,The type of event that is influenced or affected by the source.,integer (Event Type),TDM,n/a
Extract,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
Extract,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
Extract,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,TDM,n/a
Extract,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),TDM,n/a
Extract,0,,EffectiveDateTime,The date and time when the information in the extract is found to be true.,DateTime,TDM,n/a
Extract,0,ExtractSchema,ExtractSchemaId,The id of the category that references the schema used to validate the data contained in Detail.,short,TDM,n/a
Extract,0,,Detail,The semi-structured data extracted by Truveta.,string,TDM,n/a
Extract,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,TDM,n/a
ExtractSchema,1,,ExtractSchemaId,The unique identifier generated by Truveta for this event.,short,TDM,n/a
ExtractSchema,0,,Category,The name of the category that references the schema used to validate the extracted data.,string,TDM,n/a
ExtractSchema,0,,Schema,The schema that is used to validate the extracted data.,string,TDM,n/a
FamilyMemberHistory,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
FamilyMemberHistory,0,Person,PersonId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
FamilyMemberHistory,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
FamilyMemberHistory,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,100%
FamilyMemberHistory,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,100%
FamilyMemberHistory,0,Encounter,EncounterId,The id of the Encounter in which this event was recorded.,UniqueIdentifier,Prose+TDM,99%
FamilyMemberHistory,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
FamilyMemberHistory,0,,RelationshipConceptId,Truveta concept identifier for the relationship that the family member has with the patient.,integer (Family Member Relationship),Prose+TDM,99%
FamilyMemberHistory,0,,StatusConceptId,"Truveta concept identifier for the state of progress of the recorded event in the health system's process or lifecycle. It includes values such as ""entered-in-error"" or ""completed"".",integer (History Status),Prose+TDM,<1%
FamilyMemberHistory,0,FamilyMemberHistoryOutcomeConceptMap,OutcomeConceptMapId,"Normalization Id for the result, consequence, or sequela of that the condition or procedure had on the family member.",long,TDM,n/a
